,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,84.54,31,89,9.53,AU,1616126334
1,nikolskoye,59.7035,30.7861,21,85,0,4.47,RU,1616126334
2,port alfred,-7.0349,29.7638,71.15,79,25,4.41,CD,1616126335
3,saint-louis,16.3333,-15,71.6,46,0,10.65,SN,1616126336
4,saskylakh,71.9167,114.0833,-19.93,92,99,13.73,RU,1616126337
5,marsabit,2.3284,37.9899,66.54,77,81,17.16,KE,1616126338
6,trincomalee,8.5711,81.2335,82.42,71,99,9.62,LK,1616126174
7,slave lake,64.1835,-51.7216,26.6,63,75,19.57,GL,1616126083
8,nuuk,54.675,20.1347,32,93,75,4.47,RU,1616126341
9,svetlyy,-7.9,-78.5833,49.75,89,100,0.83,PE,1616126342
10,otuzco,-35.1667,173.1667,67.78,64,67,9.13,NZ,1616126343
11,ahipara,71.2906,-156.7887,1.4,71,90,13.8,US,1616126344
12,barrow,42.6001,-73.9662,37.4,60,90,14.97,US,1616126345
13,albany,43.0978,45.3608,41,93,0,4.47,RU,1616126346
14,shalazhi,16.7333,82.2167,78.8,78,100,2.28,IN,1616126347
15,yanam,64.3833,-173.3,1.4,60,0,6.71,RU,1616126348
16,provideniya,17.0151,54.0924,71.6,53,0,3.44,OM,1616126350
17,salalah,-46.1927,168.8643,59,73,67,8.01,NZ,1616126354
18,sinjah,64.8945,-23.7142,39.54,92,100,4.74,IS,1616126355
19,mataura,71.6872,128.8694,-3.28,97,100,10.85,RU,1616126356
20,olafsvik,50.5667,123.7167,33.44,54,53,2.51,CN,1616126358
21,tiksi,-46.6,168.3333,59,73,58,8.01,NZ,1616126359
22,alihe,20.8947,-156.47,68,77,40,18.41,US,1616126360
23,talawdi,21.3524,-158.0865,73.4,64,75,12.66,US,1616126361
24,bluff,-33.7333,-70.75,57.99,82,75,8.05,CL,1616126362
25,kahului,-20.2567,57.4061,81,88,40,1.14,MU,1616126363
26,makakilo city,51.8,68.3333,21.42,79,100,13.85,KZ,1616126364
27,buin,2.7858,24.73,67.6,94,57,0.98,CD,1616126365
28,bambous virieux,39.05,-27.9833,58.53,81,100,22.12,PT,1616126366
29,atbasar,51.226,-58.6502,33.58,94,100,17.83,CA,1616126369
30,buta,-23.1203,-134.9692,80.4,77,81,11.97,PF,1616126370
31,lagoa,20.5113,76.2129,84.38,19,3,8.23,IN,1616126371
32,barentsburg,-8.9266,125.4092,71.83,77,95,2.42,TL,1616126373
33,amderma,-4.3667,38.05,73.33,89,98,1.01,TZ,1616126373
34,saint-augustin,-21.2,-175.2,82.4,83,75,8.05,TO,1616126374
35,rikitea,-43.3002,-65.1023,67.68,38,96,21.7,AR,1616126101
36,sao joao da barra,6.3333,101.75,96.01,65,20,9.22,TH,1616126376
37,tabiauea,-42.8794,147.3294,75.99,46,20,13.8,AU,1616126377
38,airai,-24.7911,-50.0119,63.54,96,58,9.62,BR,1616126377
39,ndungu,-20.4081,57.7,73.4,88,40,1.14,MU,1616126378
40,vaini,56.555,76.6271,18.39,85,100,10.94,RU,1616126379
41,rawson,65.6145,-37.6368,33.8,60,75,5.75,GL,1616126380
42,narathiwat,6.6221,73.07,82.47,66,49,6.17,MV,1616126382
43,hobart,22.0752,-159.319,71.01,68,90,19.57,US,1616126387
44,castro,13.2167,-59.5167,75.2,69,40,9.22,BB,1616126388
45,mahebourg,57.79,-152.4072,26.6,43,90,10.36,US,1616126389
46,kyshtovka,70.6333,147.9167,-23.3,84,1,8.23,RU,1616126390
47,tasiilaq,-34.4187,19.2345,61,95,100,1.01,ZA,1616126391
48,kulhudhuffushi,45.679,8.4087,39,68,100,6.35,IT,1616126392
49,toliary,49.7502,-77.6328,-0.4,85,1,2.3,CA,1616126393
50,urdzhar,24.6,72.7,75.07,16,1,1.63,IN,1616126395
51,kapaa,-17,145.4333,87.8,62,64,10.36,AU,1616126396
52,bathsheba,36.5939,-6.233,44.6,65,0,5.75,ES,1616126397
53,kodiak,-33.6971,-53.4616,57.31,80,1,5.75,UY,1616126398
54,chokurdakh,-20.2833,44.2833,78.64,85,52,6.98,MG,1616126399
55,hermanus,64.8378,-147.7164,10.99,78,40,4.61,US,1616126400
56,boca do acre,-38.2667,141.9667,74.82,55,0,11.43,AU,1616126404
57,matagami,-28.7667,114.6,100.4,8,4,11.5,AU,1616126408
58,tapaua,42.7461,-8.4439,43,70,20,6.91,ES,1616126409
59,abu dhabi,-14.4739,-48.4597,68.83,92,100,1.68,BR,1616126114
60,mareeba,60.34,102.2797,20.25,87,100,11.18,RU,1616126412
61,puerto escondido,-9.8,-139.0333,80.78,77,4,12.91,PF,1616126413
62,chuy,-1.7656,-55.8661,72.72,97,100,5.79,BR,1616126417
63,morondava,-11.3847,43.2844,82.85,74,27,6.69,KM,1616126420
64,fairbanks,4.423,-7.3528,75.96,89,100,4.63,CI,1616126422
65,codrington,-3.6667,152.4333,86.16,62,98,5.1,PG,1616126423
66,geraldton,40.8021,-124.1637,48.99,90,99,10.25,US,1616126355
67,ribeira grande,-33.8667,121.9,78.8,38,0,8.05,AU,1616126425
68,niquelandia,-22.8362,-46.646,69.8,88,0,8.05,BR,1616126426
69,vanavara,27.3747,87.2039,79.95,20,28,2.48,NP,1616126429
70,atuona,27.9667,-110.8167,66.99,33,20,1.01,MX,1616126430
71,oriximina,-19.0595,-169.9187,86,66,75,11.5,NU,1616126431
72,mitsamiouli,19.7297,-155.09,68,83,90,6.91,US,1616126172
73,tabou,11.6765,10.1948,71.35,20,38,2.1,NG,1616126433
74,namatanai,47.8861,134.9464,29.7,89,75,4.12,RU,1616126433
75,eureka,39.1834,-84.5333,42.01,75,90,25.32,US,1616126198
76,esperance,40.6576,-73.5832,44.6,81,90,17.27,US,1616126184
77,arraial do cabo,-54.8,-68.3,44.6,76,40,6.91,AR,1616126437
78,tsihombe,-11.0964,-77.6139,70.99,79,100,6.76,PE,1616126438
79,illoqqortoormiut,55.7435,-97.8558,37.4,56,1,5.75,CA,1616126416
80,khandbari,-36.3132,-57.6792,49.42,77,0,1.72,AR,1616126440
81,empalme,72.7868,-56.1549,-4.52,95,99,6.93,GL,1616126442
82,alofi,-0.6,73.0833,83.08,70,100,6.4,MV,1616126443
83,hilo,-16.9167,145.7667,87.8,62,47,10.36,AU,1616126444
84,azare,38.8876,-76.5119,46.99,100,90,12.66,US,1616126445
85,khor,8.9897,125.34,88,59,63,6.11,PH,1616126446
86,hamilton,61.4681,128.9203,20.3,87,81,4.12,RU,1616126449
87,freeport,65,-15,39.2,81,0,4.61,IS,1616126450
88,te anau,0.8,127.4,84.38,70,94,5.82,ID,1616126454
89,ushuaia,63.05,179.3167,-5.3,96,84,8.72,RU,1616126455
